gene_name	cluster_id
VGlut	0
CG32017	0
Nplp1	0
CG34355	0
CG10804	0
CG2269	0
CR31451	0
IA-2	0
slgA	0
pros	0
Corin	0
bru3	0
CG18467	0
Lmx1a	0
Dop2R	0
CG6123	0
CG4328	0
hbn	0
dati	0
7B2	0
oc	0
CG13384	0
GC1	0
CG9674	0
fkh	0
CG8613	0
DIP-alpha	0
Sfxn1-3	0
hdc	0
CG12237	0
prim	0
svp	0
l(3)02640	0
Fife	0
CR44024	0
CG46301	0
rad	0
robo2	0
Myo81F	0
CG12594	0
Sytbeta	0
br	0
bma	0
CG34155	0
pros	1
CR31451	1
dati	1
CG31221	1
Lim1	1
VAChT	1
Hs3st-A	1
CR44024	1
CG11030	1
CG14762	1
ChAT	1
bru3	1
sm	1
hdc	1
CG46301	1
Pde6	1
mbl	1
hig	1
CG7708	1
CG14459	1
Dop2R	1
Ten-m	1
eys	1
zld	1
CG43759	1
br	1
spab	2
heph	2
jeb	2
CG31221	2
Ddc	2
Hsp67Bc	2
pros	2
CG14762	2
IA-2	2
VAChT	2
CR31451	2
acj6	2
dati	2
CG14024	2
ChAT	2
rad	2
CG7708	2
bma	2
Fer1	2
hdc	2
prim	2
trv	2
jdp	2
Sytbeta	2
CanB	2
sm	2
CG18467	2
CR44024	2
Ca-alpha1T	2
bru3	2
CG16779	2
beat-VII	2
CG12194	2
CG13995	2
Pkc53E	2
Fife	2
Pde6	2
unc-13-4A	2
brat	2
CG11030	2
Pdcd4	2
CG43324	2
fend	2
CG34219	2
Ptp99A	2
dpr9	2
CG34354	2
CG8248	2
CG1275	2
Hs3st-A	2
Con	2
CG30172	2
CG13108	2
CG2993	2
RhoGAP71E	2
CG46301	2
CG13375	2
Rab27	2
CG6123	2
CG32052	2
beat-IIIc	2
CG33143	2
CG9368	2
bi	2
CanA-14F	2
Epac	2
Kank	2
CadN	2
robo2	2
CG15772	2
CG4199	2
CG31140	2
CG2269	2
Frq2	2
CG15651	2
rdgA	2
CG11099	2
beat-Ia	2
CG12531	2
mbf1	2
Rm62	2
CG8726	2
Rgk2	2
CG42361	2
CG8909	2
CG3009	2
CG32683	2
CG32700	2
Spred	2
CG3793	2
klg	2
CG8177	2
DIP-zeta	2
Pde9	2
Lim1	2
Or63a	2
jagn	2
CG3662	2
Myo81F	2
pdm3	2
nvy	2
Pcd	2
ssx	2
CG4577	2
Wnt4	2
twz	2
CG11317	2
Lim3	2
CG12237	2
CG31997	2
CG42541	2
br	2
Dh31	2
CG13408	2
CG11319	2
disco	3
disco-r	3
CR31451	3
CG43689	3
Ddc	3
bi	3
Dop2R	3
mbl	3
Wnt4	3
eys	3
CG31221	3
twz	3
VAChT	3
DIP-theta	3
unc-13-4A	3
CG14762	3
Hs3st-A	3
wry	3
beat-Va	3
beat-Vb	3
beat-VI	3
Frq2	3
Kank	3
CG15312	3
CG14024	3
klg	3
rgn	3
AstC-R2	3
CG33639	3
dpr17	3
spab	3
CG14989	4
Gad1	4
VGAT	4
CG32017	4
CG10804	4
Ssadh	4
pb	4
CG32225	4
slgA	4
CG9674	4
IscU	4
caup	4
nvy	4
Fer1	4
mirr	4
hth	4
CR31451	4
Corin	4
Nplp1	4
grn	4
CG4587	4
Gabat	4
Msp300	4
shakB	4
CG12594	4
mtd	4
Bx	4
mbl	4
zld	4
CR44024	4
pros	4
Proc	4
dati	4
P5CDh1	4
salr	4
sgll	4
GC1	4
SK	4
DIP-alpha	4
hdc	4
CG45781	4
CG3961	4
orb2	4
CG33181	4
beat-VII	4
CG45263	4
CG18208	4
dpr6	4
DIP-gamma	4
CG1402	4
CG31814	4
DIP-delta	4
CG14459	4
CG8861	4
CG42674	4
CG15537	4
Imp	5
mamo	5
futsch	5
mbl	5
Msp300	5
Rbp9	5
CG43689	5
IA-2	5
fne	5
Gpb5	5
jeb	5
CG43222	5
SK	5
sm	5
chic	5
hth	5
CG3262	5
Frq2	5
Btk29A	5
mam	5
CG31345	5
zfh2	5
Kr	5
CG2918	5
sta	5
Alk	5
PPP4R2r	5
Calr	5
CR45223	5
pix	5
Dak1	5
CG9919	5
Evi5	5
rin	5
Ten-m	5
RSG7	5
Ank2	5
Hsp67Ba	5
CG3556	5
Ssb-c31a	5
Cyp1	5
CG2201	5
IscU	5
nAChRalpha3	5
Lim1	5
CG7708	5
SdhA	5
Cals	5
CG45263	5
olf413	5
CG13928	5
CG3009	5
CG17716	5
Ptp99A	5
vvl	5
Corin	5
DIP-gamma	5
dpr21	5
RpS2	5
CG14322	5
beat-Vc	5
Myo81F	5
Proc	5
spab	5
beat-VII	5
CG14762	5
CG10527	5
CG31221	5
Dop2R	5
Optix	5
CG43902	5
Sema2b	5
salr	5
CG12594	5
CG4766	5
CG15537	5
beat-Ic	6
CR45621	6
CG9650	6
CG31221	6
VAChT	6
SoxN	6
beat-Ib	6
scro	6
CG11085	6
Vsx2	6
CG9109	6
toy	6
St3	6
beat-Ia	6
cindr	6
jeb	6
ChAT	6
Snap25	6
Sox102F	6
CG34113	6
msi	6
Frq1	6
CG14762	6
Atox1	6
CG31324	6
spab	6
ap	6
TM4SF	6
Cbp53E	6
CG4577	6
CG1463	6
sr	6
Ca-alpha1T	6
dpr1	6
Vsx1	6
DOR	6
CG3009	6
nmo	6
Ace	6
Hk	6
CG4629	6
Nlg3	6
roX2	6
DopEcR	6
CG14186	6
X11Lbeta	6
Hr38	6
fz2	6
Octbeta2R	6
glec	6
Ih	6
Gpdh	6
fred	6
dpr17	6
emc	6
CG44153	6
ftz-f1	6
Ggamma30A	6
GluClalpha	6
Hasp	6
Hs3st-A	6
CR46006	6
CG32432	6
ct	6
NetB	6
side	6
beat-VI	6
DIP-epsilon	6
dpr13	6
dpr6	6
nAChRalpha3	6
CR43148	6
kek2	6
fz	6
beat-IIIb	6
CG8861	6
Gfrl	6
CG32683	6
CG14024	6
CG15236	6
luna	6
CG6959	6
CG3655	6
Hsp23	7
Hsp26	7
alphagamma-element:CR32865	7
Hsp67Bc	7
Hsp27	7
