gene_id	gene_descr	gene_name
FBgn0028789	Dorsocross1	Doc1
FBgn0035956	Dorsocross2	Doc2
FBgn0035954	Dorsocross3	Doc3
FBgn0000179	bifid	bi
FBgn0261963	midline	mid
FBgn0016660	H15	H15
FBgn0011723	brachyenteron	byn
FBgn0021767	optomotor-blind-related-gene-1	org-1
FBgn0000568	Ecdysone-induced protein 75B	Eip75B
FBgn0004865	Ecdysone-induced protein 78C	Eip78C
FBgn0000448	Hormone receptor 3	Hr3
FBgn0000546	Ecdysone receptor	EcR
FBgn0015240	Hormone receptor-like in 96	Hr96
FBgn0004914	Hepatocyte nuclear factor 4	Hnf4
FBgn0003964	ultraspiracle	usp
FBgn0015239	Hormone-receptor-like in 78	Hr78
FBgn0003720	tailless	tll
FBgn0034012	Hormone receptor 51	Hr51
FBgn0015381	dissatisfaction	dsf
FBgn0037436	Hormone receptor 83	Hr83
FBgn0003651	seven up	svp
FBgn0035849	estrogen-related receptor	ERR
FBgn0014859	Hormone receptor-like in 38	Hr38
FBgn0001078	ftz transcription factor 1	ftz-f1
FBgn0261239	Hormone receptor-like in 39	Hr39
FBgn0264562	Hormone receptor 4	Hr4
FBgn0001323	knirps-like	knrl
FBgn0000560	eagle	eg
FBgn0001320	knirps	kni
FBgn0260632	dorsal	dl
FBgn0011274	Dorsal-related immunity factor	Dif
FBgn0014018	Relish	Rel
FBgn0265193	Activating transcription factor-2	Atf-2
FBgn0033010	Atf6	Atf6
FBgn0004396	Cyclic-AMP response element binding protein A	CrebA
FBgn0001150	giant	gt
FBgn0036126	Inverted repeat binding protein 18 kDa	Irbp18
FBgn0001291	Jun-related antigen	Jra
FBgn0001297	kayak	kay
FBgn0005638	slow border cells	slbo
FBgn0016076	vrille	vri
FBgn0028550	Activating transcription factor 3	Atf3
FBgn0034096	-	CG7786
FBgn0262975	cap-n-collar	cnc
FBgn0000370	cryptocephal	crc
FBgn0265784	Cyclic-AMP response element binding protein B	CrebB
FBgn0034534	maf-S	maf-S
FBgn0016694	PAR-domain protein 1	Pdp1
FBgn0032202	REPTOR-binding partner	REPTOR-BP
FBgn0000964	traffic jam	tj
FBgn0021872	X box binding protein-1	Xbp1
FBgn0039209	Repressed by TOR	REPTOR
FBgn0003411	sisterless A	sisA
FBgn0000022	achaete	ac
FBgn0003270	absent MD neurons and olfactory sensilla	amos
FBgn0000137	asense	ase
