gene_name	cluster_id
CG3168	49
Tret1-1	49
gem	49
CG10550	49
Sirup	49
CG14687	49
CG10444	49
CG9512	58
glob1	58
Cat	58
bond	58
CG31663	30
Ugt35b	30
trol	30
CG8369	30
nrv2	30
CG3940	30
bnb	30
CG7509	30
axo	30
CG16743	30
CG9394	30
Inx2	26
CR42491	26
e	26
CG15209	26
ogre	26
CG1552	26
CG31705	26
CG13631	26
CG9394	38
CG1552	38
Gs2	38
CR42491	38
Inx2	38
ogre	38
CG15209	38
CG31705	38
Act79B	38
CG15201	57
Obp44a	57
Tsf1	57
alrm	57
Irk3	57
hoe1	57
CG3168	57
CG9686	56
Obp44a	56
MtnA	56
mnd	56
CG6356	56
CG33296	56
wtrw	56
Tsf1	56
CG15522	23
CG14274	23
Eaat1	23
CG2016	23
Nrg	23
orb	23
AMPdeam	23
Octbeta2R	23
CG34355	23
Crz	23
Lim1	2
CG42750	2
CG43902	2
CNMaR	2
2mit	2
CG14340	2
SoxN	2
fkh	2
CG3822	47
CG42540	47
CG6044	47
CG1358	47
CG2016	47
CG34355	47
Dgk	47
CG33777	47
Scp2	47
Pde11	47
Adgf-D	45
ogre	45
CR42491	45
CG1537	45
CG32655	45
CG7607	45
CG44774	45
Gs2	45
CR40469	45
roX1	0
roX2	0
CR31451	0
Hr38	0
Dop2R	0
sr	0
D	0
Ddc	0
trn	0
CG42750	28
CG43902	28
Lim1	28
fkh	28
Hr38	28
Scp2	28
sr	44
Hr38	44
CG34354	44
rdgA	44
CG42540	44
nAChRalpha6	44
nAChRalpha7	44
mbl	53
vvl	53
beat-VII	53
ctrip	53
east	53
CG11505	53
CG1537	53
Mdh2	53
eys	53
vvl	37
beat-VI	37
CG15236	37
CG42541	37
Epac	37
glec	37
scro	37
dpr10	37
sosie	6
nAChRalpha6	6
beat-Ic	6
beat-Ia	6
CG44098	6
Tk	6
beat-IIIc	6
Pde1c	6
CG13685	6
acj6	6
Vsx1	33
CG32698	33
Octbeta1R	33
Ca-alpha1T	33
Gad1	33
CG42540	33
GluRIB	33
Toll-6	33
CG2145	32
bnb	32
CG42489	32
e	32
Obp44a	32
Scp2	32
CG3168	32
CG13631	32
vir-1	32
Tret1-1	19
CG10550	19
CG10444	19
CG3168	19
gem	19
Sirup	19
Vmat	16
ple	16
sNPF	16
klg	16
Tsf1	11
CG15201	11
Irk3	11
Obp44a	11
alrm	11
CG9512	7
CG7272	7
glob1	7
mt:lrRNA	4
CG9394	4
mt:srRNA	4
CG15209	4
Inx2	4
