Interactor 1	Description	Interactor 2	Description	Interaction Type	Discovery Type	PMID(s)	Possible reason for failure to detect
18w	LRR	CG14372	Ig-FnIII	Heterophilic	Novel		
beat-Ia	Beat	side	Side	Heterophilic	Previously known	19369411	
beat-IIa	Beat	CG14372	Side	Heterophilic	Novel		
beat-IIa	Beat	side	Side	Heterophilic	Novel		
beat-IIb	Beat	CG14372	Side	Heterophilic	Novel		
beat-IIb	Beat	side	Side	Heterophilic	Novel		
beat-IV	Beat	CG12950	Side	Heterophilic	Novel		
beat-Va	Beat	CG34114	Side	Heterophilic	Novel		
beat-Vb	Beat	CG34114	Side	Heterophilic	Novel		
beat-Vc	Beat	CG34114	Side	Heterophilic	Novel		
CG10824	DIPc	CG14010	DIP	Heterophilic	Novel		
CG10824	DIPc	CG14521	DIP	Heterophilic	Novel		
CG10824	DIPc	CG31646	DIP	Heterophilic	Novel		
CG10824	DIPc	CG31708	DIP	Heterophilic	Novel		
CG10824	DIPc	CG34391	DIP	Heterophilic	Novel		
CG10824	DIPc	CG42343	DIP	Heterophilic	Novel		
CG10824	DIPc	CG42368	DIP	Heterophilic	Novel		
CG12950	Side	CG17839	Ig-FnIII	Heterophilic	Novel		
CG1504	LRR	CG14521	DIP	Heterophilic	Novel		
CG34113	Side	CG42313	Side	Heterophilic	Novel		
dpr	Dpr	CG10824	DIPc	Heterophilic	Novel		
dpr	Dpr	CG14010	DIP	Heterophilic	Novel		
dpr	Dpr	CG31646	DIP	Heterophilic	Novel		
dpr10	Dpr	CG10824	DIPc	Heterophilic	Novel		
dpr10	Dpr	CG32791	DIP	Heterophilic	Novel		
dpr11	Dpr	CG10824	DIPc	Heterophilic	Novel		
dpr11	Dpr	CG14521	DIP	Heterophilic	Novel		
dpr11	Dpr	CG42343	DIP	Heterophilic	Novel		
dpr12	Dpr	CG10824	DIPc	Heterophilic	Novel		
dpr12	Dpr	CG34391	DIP	Heterophilic	Novel		
dpr13	Dpr	CG10824	DIPc	Heterophilic	Novel		
dpr13	Dpr	CG31708	DIP	Heterophilic	Novel		
dpr13	Dpr	CG42368	DIP	Heterophilic	Novel		
dpr14	Dpr	CG42368	DIP	Heterophilic	Novel		
dpr16	Dpr	CG14521	DIP	Heterophilic	Novel		
dpr16	Dpr	CG31708	DIP	Heterophilic	Novel		
dpr16	Dpr	CG42368	DIP	Heterophilic	Novel		
dpr17	Dpr	CG14521	DIP	Heterophilic	Novel		
dpr17	Dpr	CG42368	DIP	Heterophilic	Novel		
dpr19	Dpr	CG10824	DIPc	Heterophilic	Novel		
dpr19	Dpr	CG31708	DIP	Heterophilic	Novel		
dpr19	Dpr	CG42368	DIP	Heterophilic	Novel		
dpr2	Dpr	CG10824	DIPc	Heterophilic	Novel		
dpr2	Dpr	CG14010	DIP	Heterophilic	Novel		
