postsynaptic	R1	R2	R3	R4	R5	R6	L1	L2	L3	L4	L4+x	L4-y	L5	Am	T1	C2	C3	La wf	Ep.glia	S.glia	M.glia	Orph	Total
R1	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	1 + 0	0 + 0	0 + 0	1 + 0	1 + 0	0 + 0	0 + 1	0 + 0	0 + 0	0 + 0	1 + 0	0 + 0	0 + 0	0 + 0	0 + 0	4 + 1
R2	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	1 + 1	0 + 0	0 + 0	0 + 0	1 + 0	0 + 0	1 + 0	0 + 0	0 + 0	0 + 0	3 + 0	0 + 0	0 + 0	0 + 0	0 + 0	6 + 1
R3	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	2 + 0	1 + 1	0 + 0	0 + 0	0 + 0	0 + 0	1 + 0	1 + 0	0 + 0	0 + 0	0 + 0	0 + 0	5 + 1
R4	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	1 + 0	0 + 1	0 + 0	2 + 0	0 + 0	0 + 0	0 + 0	0 + 1	0 + 0	0 + 0	0 + 0	0 + 0	3 + 2
R5	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	1 + 0	0 + 0	2 + 1	0 + 0	2 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	5 + 1
R6	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	2 + 0	1 + 1	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	1 + 0	0 + 0	0 + 0	0 + 0	0 + 0	4 + 1
L1	40 + 0	43 + 0	37 + 1	38 + 0	38 + 0	45 + 1	0 + 0	3 + 0	0 + 0	0 + 0	0 + 2	0 + 0	0 + 0	1 + 0	0 + 0	0 + 0	3 + 3	1 + 1	0 + 0	0 + 0	0 + 0	0 + 0	249 + 8
L2	46 + 0	45 + 0	39 + 1	41 + 1	39 + 0	47 + 2	0 + 0	0 + 0	0 + 0	2 + 2	3 + 3	2 + 3	0 + 0	1 + 3	0 + 0	3 + 3	5 + 4	7 + 2	0 + 0	0 + 0	0 + 0	0 + 0	280 + 24
L3	11 + 0	10 + 0	4 + 0	8 + 0	6 + 0	12 + 1	0 + 0	0 + 0	0 + 0	0 + 0	0 + 1	1 + 0	0 + 0	10 + 4	0 + 0	0 + 0	0 + 1	17 + 4	0 + 0	0 + 0	0 + 0	0 + 0	79 + 11
L4	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	2 + 0	0 + 0	4 + 1	0 + 0	0 + 0	1 + 1	0 + 3	0 + 0	4 + 1	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	11 + 6
L4+x	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	4 + 1	0 + 0	0 + 0	0 + 0	0 + 1	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	4 + 2
L4-y	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	2 + 1	0 + 0	0 + 0	2 + 1	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	4 + 2
L5	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	1 + 0	0 + 0	1 + 1	1 + 2	1 + 1	0 + 0	4 + 0	0 + 0	0 + 1	0 + 0	1 + 0	0 + 0	0 + 0	0 + 0	0 + 0	9 + 5
Am	36 + 0	39 + 0	39 + 1	37 + 0	35 + 0	40 + 0	0 + 0	0 + 0	0 + 0	1 + 0	1 + 0	0 + 1	0 + 0	1 + 1	0 + 0	5 + 3	9 + 13	24 + 12	0 + 0	0 + 0	0 + 0	0 + 0	267 + 31
T1	0 + 0	2 + 0	2 + 0	2 + 0	0 + 0	0 + 0	0 + 0	0 + 1	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	54 + 9	0 + 0	0 + 0	1 + 1	1 + 3	0 + 0	0 + 0	0 + 0	0 + 0	62 + 14
C2	0 + 0	0 + 0	0 + 0	0 + 0	1 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	1 + 0	0 + 0	0 + 0	0 + 0	3 + 3	0 + 0	0 + 0	0 + 0	0 + 0	5 + 3
C3	0 + 0	0 + 0	2 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	1 + 0	0 + 0	0 + 0	0 + 0	2 + 0	0 + 0	0 + 0	0 + 0	0 + 0	5 + 0
La wf	1 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 1	0 + 0	5 + 2	0 + 0	0 + 0	0 + 0	0 + 0	6 + 3
Ep.glia	15 + 0	13 + 0	7 + 1	9 + 0	10 + 0	11 + 1	0 + 0	0 + 1	0 + 0	0 + 1	2 + 1	1 + 1	0 + 0	87 + 12	0 + 0	0 + 0	1 + 2	6 + 3	0 + 0	0 + 0	0 + 0	0 + 0	162 + 23
S.glia	1 + 0	1 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	2 + 0
M.glia	1 + 0	0 + 0	0 + 0	0 + 0	1 + 0	2 + 0	0 + 0	0 + 0	0 + 0	0 + 1	0 + 0	1 + 2	0 + 0	0 + 1	0 + 0	0 + 0	0 + 1	0 + 0	0 + 0	0 + 0	0 + 0	0 + 0	5 + 5
Orph.	11 + 0	6 + 0	6 + 0	8 + 1	8 + 0	8 + 1	0 + 0	0 + 0	0 + 0	2 + 2	1 + 0	1 + 1	0 + 0	4 + 0	0 + 0	2 + 2	1 + 3	12 + 6	0 + 0	0 + 0	0 + 0	0 + 0	70 + 16
Total	162 + 0	159 + 0	136 + 4	143 + 2	138 + 0	167 + 6	0 + 0	16 + 6	0 + 0	7 + 7	17 + 11	13 + 17	0 + 0	173 + 32	0 + 0	10 + 10	21 + 28	85 + 37	0 + 0	0 + 0	0 + 0	0 + 0	1247+160
