sampleID	driverType	driver	celltype	cells.per.brain	intact.protocol	intact.reporter	yield.nuclei.thousands	yield.cdna.ng_uL	fastq
s001	pureCellType	Mi1_d1	Mi1	1600	INTACT	10XUAS_UNC84_attP2	190	273	150415_SN651_0372_AH3N2YBCXX/Sample_H_L_M1_1.fastq.gz
s002	pureCellType	Mi1_d1	Mi1	1600	INTACT	10XUAS_UNC84_attP2	153	283	150415_SN651_0372_AH3N2YBCXX/Sample_H_L_M2_1.fastq.gz
s003	pureCellType	Tm3_d1	Tm3	1600	INTACT	10XUAS_UNC84_attP2	72	250	150415_SN651_0372_AH3N2YBCXX/Sample_H_L_M3_1.fastq.gz
s004	pureCellType	Tm3_d1	Tm3	1600	INTACT	10XUAS_UNC84_attP2	81	237	150415_SN651_0372_AH3N2YBCXX/Sample_H_L_M4_1.fastq.gz
s005	pureCellType	Tm4_d1	Tm4	1600	INTACT	10XUAS_UNC84_attP2	18	227	150415_SN651_0372_AH3N2YBCXX/Sample_H_L_M7_1.fastq.gz
s006	pureCellType	Tm4_d1	Tm4	1600	INTACT	10XUAS_UNC84_attP2	27	203	150415_SN651_0372_AH3N2YBCXX/Sample_H_L_M8_1.fastq.gz
s007	pureCellType	Mi4_d1	Mi4	1600	INTACT	10XUAS_UNC84_attP2	23	217	150415_SN651_0373_BH3N2LBCXX/Sample_H_L_M13_1.fastq.gz
s008	pureCellType	Mi4_d1	Mi4	1600	INTACT	10XUAS_UNC84_attP2	36	257	150415_SN651_0373_BH3N2LBCXX/Sample_H_L_M14_1.fastq.gz
s009	pureCellType	Tm2_d1	Tm2	1600	INTACT	10XUAS_UNC84_attP2	68	233	150420_SN651_0376_AH3FFYBCXX/Sample_L_G_M17_1.fastq.gz
s010	pureCellType	Tm2_d1	Tm2	1600	INTACT	10XUAS_UNC84_attP2	23	233	150420_SN651_0376_AH3FFYBCXX/Sample_L_G_M18_1.fastq.gz
s011	pureCellType	Tm9_d1	Tm9	1600	INTACT	10XUAS_UNC84_attP2	72	253	150420_SN651_0376_AH3FFYBCXX/Sample_L_G_M19_1.fastq.gz
s012	pureCellType	Tm9_d1	Tm9	1600	INTACT	10XUAS_UNC84_attP2	81	233	150420_SN651_0376_AH3FFYBCXX/Sample_L_G_M20_1.fastq.gz
s013	pureCellType	L1_d1	L1	1600	INTACT	10XUAS_UNC84_attP2	54	240	150506_SN651_0391_AH57JGBCXX/Sample_L_G_L1_1.fastq.gz
s014	pureCellType	L1_d1	L1	1600	INTACT	10XUAS_UNC84_attP2	59	223	150506_SN651_0391_AH57JGBCXX/Sample_L_G_L2_1.fastq.gz
s015	pureCellType	L1_d2	L1	1600	INTACT	10XUAS_UNC84_attP2	54	237	150506_SN651_0391_AH57JGBCXX/Sample_L_G_L3_1.fastq.gz
s016	pureCellType	L1_d2	L1	1600	INTACT	10XUAS_UNC84_attP2	54	257	150506_SN651_0391_AH57JGBCXX/Sample_L_G_L4_1.fastq.gz
s017	pureCellType	L2_d1	L2	1600	INTACT	10XUAS_UNC84_attP2	95	283	150506_SN651_0391_AH57JGBCXX/Sample_L_G_L5_1.fastq.gz
s018	pureCellType	L2_d1	L2	1600	INTACT	10XUAS_UNC84_attP2	90	283	150506_SN651_0391_AH57JGBCXX/Sample_L_G_L6_1.fastq.gz
s019	pureCellType	L3_d1	L3	1600	INTACT	10XUAS_UNC84_attP2	95	253	150506_SN651_0391_AH57JGBCXX/Sample_L_G_L7_1.fastq.gz
s020	pureCellType	L3_d1	L3	1600	INTACT	10XUAS_UNC84_attP2	50	257	150506_SN651_0391_AH57JGBCXX/Sample_L_G_L8_1.fastq.gz
s021	pureCellType	L4_d1	L4	1600	INTACT	10XUAS_UNC84_attP2	171	307	150506_SN651_0392_BH3WVKBCXX/Sample_L_G_L10_1.fastq.gz
s022	pureCellType	L5_d1	L5	1600	INTACT	10XUAS_UNC84_attP2	90	270	150506_SN651_0392_BH3WVKBCXX/Sample_L_G_L11_1.fastq.gz
s023	pureCellType	L5_d1	L5	1600	INTACT	10XUAS_UNC84_attP2	90	233	150506_SN651_0392_BH3WVKBCXX/Sample_L_G_L12_1.fastq.gz
s024	pureCellType	C2_d1	C2	1600	INTACT	10XUAS_UNC84_attP2	162	263	150506_SN651_0392_BH3WVKBCXX/Sample_L_G_L13_1.fastq.gz
s025	pureCellType	C2_d1	C2	1600	INTACT	10XUAS_UNC84_attP2	135	267	150506_SN651_0392_BH3WVKBCXX/Sample_L_G_L14_1.fastq.gz
s026	pureCellType	C3_d1	C3	1600	INTACT	10XUAS_UNC84_attP2	180	260	150506_SN651_0392_BH3WVKBCXX/Sample_L_G_L15_1.fastq.gz
s027	pureCellType	C3_d1	C3	1600	INTACT	10XUAS_UNC84_attP2	110	263	150506_SN651_0392_BH3WVKBCXX/Sample_L_G_L16_1.fastq.gz
s028	pureCellType	L4_d1	L4	1600	INTACT	10XUAS_UNC84_attP2	171	293	150506_SN651_0392_BH3WVKBCXX/Sample_L_G_L9_1.fastq.gz
s029	pureCellType	Lawf1_d1	Lawf1	200	INTACT	10XUAS_UNC84_attP2	45	243	150507_SN651_0393_AH572MBCXX/Sample_L_G_L17_1.fastq.gz
s030	pureCellType	Lawf1_d1	Lawf1	200	INTACT	10XUAS_UNC84_attP2	54	243	150507_SN651_0393_AH572MBCXX/Sample_L_G_L18_1.fastq.gz
s031	pureCellType	Lawf2_d1	Lawf2	200	INTACT	10XUAS_UNC84_attP2	45	257	150507_SN651_0393_AH572MBCXX/Sample_L_G_L19_1.fastq.gz
s032	pureCellType	Lawf2_d1	Lawf2	200	INTACT	10XUAS_UNC84_attP2	23	247	150507_SN651_0393_AH572MBCXX/Sample_L_G_L20_1.fastq.gz
