sample_name	REPORTER	SPLIT-AD	SPLIT-DBD	
Mi1_d1-rep1-2015	10xUAS_UNC84_attP2	R19F01-p65ADZp_attP40	R71D01-ZpGDBD_attP2	
Mi1_d1-rep2-2015	10xUAS_UNC84_attP2	R19F01-p65ADZp_attP40	R71D01-ZpGDBD_attP2	
Tm3_d1-rep1-2015	10xUAS_UNC84_attP2	R13E12-p65ADZp_attP40	R59C10-ZpGDBD_attP2	
Tm3_d1-rep2-2015	10xUAS_UNC84_attP2	R13E12-p65ADZp_attP40	R59C10-ZpGDBD_attP2	
Tm4_d1-rep1-2015	10xUAS_UNC84_attP2	R53C02-p65ADZp_attP40	R60H04-ZpGDBD_attP2	
Tm4_d1-rep2-2015	10xUAS_UNC84_attP2	R53C02-p65ADZp_attP40	R60H04-ZpGDBD_attP2	
Mi4_d1-rep1-2015	10xUAS_UNC84_attP2	R48A07-p65ADZp_attP40	R13F11-ZpGDBD_attP2	
Mi4_d1-rep2-2015	10xUAS_UNC84_attP2	R48A07-p65ADZp_attP40	R13F11-ZpGDBD_attP2	
Tm2_d1-rep1-2015	10xUAS_UNC84_attP2	R28D05-p65ADZp_attP40	R82F12-ZpGDBD_attP2	
Tm2_d1-rep2-2015	10xUAS_UNC84_attP2	R28D05-p65ADZp_attP40	R82F12-ZpGDBD_attP2	
Tm9_d1-rep1-2015	10xUAS_UNC84_attP2	R24C08-p65ADZp_attP40	R70B08-ZpGDBD_attP2	
Tm9_d1-rep2-2015	10xUAS_UNC84_attP2	R24C08-p65ADZp_attP40	R70B08-ZpGDBD_attP2	
L1_d1-rep1-2015	10xUAS_UNC84_attP2	R66A01-p65ADZp_attP40	R48A08-ZpGDBD_attP2	
L1_d1-rep2-2015	10xUAS_UNC84_attP2	R66A01-p65ADZp_attP40	R48A08-ZpGDBD_attP2	
L1_d2-rep1-2015	10xUAS_UNC84_attP2	R48A08-p65ADZp_attP40	R66A01-ZpGDBD_attP2	
