Internal Sample #	BDGP Cloning #	Clone Name	Class	Symbol	Flybase Gene ID	Name	Special Identification	Annotation	ECD Insert Size (aa)	Full-length size (aa)	"Domains EC, (IC)"	SP	TM or GPI	Cellular Localization	Expression as Bait	Expression as Prey	Included in	Notes on sequence	"Extracellular interactions observed, based on Literature Survey"
22	GT50001	RT01502	Ig + LRR	Sema-2a	FBgn0011260	Sema-2a		CG4700	699	724	"1 Sema, 1 PSI, 1 Ig"	Y	N	Secreted	Moderate	Moderate	Interactome I and II		Sema-2a binds PlexB (PMID: 16672342).
12	GT50002	RT01907	Ig + LRR	CG16974	FBgn0032479			CG16974	754	1257	"LRR[11], 1 Ig"	Y	TM	Transmembrane	Moderate	Moderate	Interactome I and II		Orphan.
19	GT50003	RT01511	Ig + FnIII	klg	FBgn0017590	klingon		CG6669	446	545	"3 Ig, 1 FnIII"	Y	GPI	Membrane attached	Moderate	Low	Interactome I and II		"Klg Binds itself (PMID: 19104051, 9043060)."
103	GT50004	RT01520	Ig	dpr6	FBgn0040823	dpr6		CG14162	260	283	2 Ig	Y	N	Secreted	Low	Moderate	Interactome I and II		Orphan.
73	GT50005	RT01915	Ig	unc-5	FBgn0034013	unc-5		CG8166	477	1072	"2 Ig, 2 Tsp1, (ZU5), (Death)"	Y	TM	Transmembrane	Moderate	Moderate	Interactome I and II		"Unc-5 binds NetA, NetB (PMID: 11719202)."
121	GT50006	RT01527	Ig	Bsg	FBgn0261822	Basigin		CG31605	202	265	2 Ig	Y	TM	Transmembrane	High	High	Interactome I and II		Bsg Binds integrin (if [_PS2] and mys [_PS]; PMID: 15928045).
15	GT50007	RT01920	Ig	CG31431	FBgn0051431			CG31431	276	361	2 Ig	Y	TM	Transmembrane	High	Moderate	Interactome I and II		Orphan.
10	GT50008	RT01925	Ig	CG31708	FBgn0051708			CG31708	483	532	3 Ig	Y	TM	Transmembrane	Low	Low	Interactome I and II		Orphan.
97	GT50009	RT02815	Ig	rst	FBgn0003285	roughest		CG4125	511	764	5 Ig	Y	TM	Transmembrane	High	Low	Interactome I and II		"Rst binds itself (PMID: 7646884), SNS (PMID: 15511638) and Hbs (PMID: 15935781). Rst binds X11L intracellularly."
30	GT50010	RT02589	Ig + FnIII	Cont	FBgn0037240	Contactin		CG1084	1354	1390	"1 CLect, 6 Ig, 4 FnIII"	Y	TM	Transmembrane	Moderate	Moderate	Interactome I and II		Cont binds NrxIV (PMID: 22022470).
81	GT50011	RT02603	Ig + FnIII	Ptp69D	FBgn0014007	Protein tyrosine phosphatase 69D		CG10975	767	1461	"2 Ig, 3 FnIII, (2 PTPc)"	Y	TM	Transmembrane	Moderate but degraded	Moderate but degraded	Interactome I and II	First two residues of the ECD missing.	Orphan.
80	GT50012	RT01942	Ig	beat-IIIc	FBgn0032629	beat-IIIc		CG15138	280	383	2 Ig	Y	TM	Transmembrane	High	High	Interactome I and II		Orphan.
110	GT50013	RT02817	Ig	CG32791	FBgn0052791			CG32791	469	554	3 Ig	Y	TM	Transmembrane	Moderate	Moderate	Interactome I and II	First residue of the ECD missing.	Orphan.
